id,year,ncessch,leaid,grade,race,sex,enrollment,fips,extracted_at
146,2022,060003204958,0600032,4,99,99,61,6,2026-03-29
147,2022,060003204960,0600032,4,99,99,72,6,2026-03-29
148,2022,060003204961,0600032,4,99,99,155,6,2026-03-29
149,2022,060003214656,0600032,4,99,99,1,6,2026-03-29
150,2022,060003304680,0600033,4,99,99,168,6,2026-03-29
151,2022,060003406983,0600034,4,99,99,130,6,2026-03-29
152,2022,060003409465,0600034,4,99,99,137,6,2026-03-29
153,2022,060003412585,0600034,4,99,99,2,6,2026-03-29
154,2022,060003414243,0600034,4,99,99,0,6,2026-03-29
155,2022,060003511532,0600035,4,99,99,196,6,2026-03-29
156,2022,060003601095,0600036,4,99,99,84,6,2026-03-29
157,2022,060003601108,0600036,4,99,99,88,6,2026-03-29
158,2022,060003601114,0600036,4,99,99,62,6,2026-03-29
159,2022,060003608583,0600036,4,99,99,97,6,2026-03-29
160,2022,060003610359,0600036,4,99,99,120,6,2026-03-29
161,2022,060003611085,0600036,4,99,99,88,6,2026-03-29
162,2022,060003611087,0600036,4,99,99,112,6,2026-03-29
163,2022,060003611734,0600036,4,99,99,114,6,2026-03-29
164,2022,060003612351,0600036,4,99,99,134,6,2026-03-29
165,2022,060003614043,0600036,4,99,99,81,6,2026-03-29
166,2022,060003614188,0600036,4,99,99,94,6,2026-03-29
167,2022,060003614537,0600036,4,99,99,27,6,2026-03-29
168,2022,060003701550,0600037,4,99,99,33,6,2026-03-29
169,2022,060003803640,0600038,4,99,99,1,6,2026-03-29
170,2022,060003809400,0600038,4,99,99,1,6,2026-03-29
171,2022,060003901212,0600039,4,99,99,53,6,2026-03-29
172,2022,060003901213,0600039,4,99,99,57,6,2026-03-29
173,2022,060003910965,0600039,4,99,99,77,6,2026-03-29
174,2022,060004005118,0600040,4,99,99,109,6,2026-03-29
175,2022,060004206844,0600042,4,99,99,19,6,2026-03-29
176,2022,060004306172,0600043,4,99,99,78,6,2026-03-29
177,2022,060004306174,0600043,4,99,99,75,6,2026-03-29
178,2022,060004402139,0600044,4,99,99,68,6,2026-03-29
179,2022,060004507091,0600045,4,99,99,145,6,2026-03-29
180,2022,060004607185,0600046,4,99,99,148,6,2026-03-29
181,2022,060004707383,0600047,4,99,99,67,6,2026-03-29
182,2022,060004707387,0600047,4,99,99,74,6,2026-03-29
183,2022,060004707390,0600047,4,99,99,69,6,2026-03-29
184,2022,060004707393,0600047,4,99,99,137,6,2026-03-29
185,2022,060004707396,0600047,4,99,99,79,6,2026-03-29
186,2022,060004707397,0600047,4,99,99,101,6,2026-03-29
187,2022,060004707398,0600047,4,99,99,55,6,2026-03-29
188,2022,060004707400,0600047,4,99,99,56,6,2026-03-29
189,2022,060004707401,0600047,4,99,99,74,6,2026-03-29
